#Page	Symbol	
3M	MMM		
American_Express	AXP	
AT%26T	T		
Boeing	BA		
Caterpillar_Inc.	CAT		
#Chevron_Corporation	CVX	
Cisco_Systems	CSCO	
The_Coca-Cola_Company	KO		
DuPont	DD		
ExxonMobil	XOM		
General_Electric	GE	
Goldman_Sachs	GS	
The_Home_Depot	HD
Intel	INTC		
IBM	IBM		
Johnson_%26_Johnson	JNJ
JPMorgan_Chase	JPM	
McDonald%27s	MCD		
Merck_%26_Co.	MRK		
Microsoft	MSFT		
Nike,_Inc.	NKE		
Pfizer	PFE		
Procter_%26_Gamble	PG
The_Travelers_Companies	TRV		
UnitedHealth_Group	UNH	
United_Technologies_Corporation	UTX
Verizon_Communications	VZ	
